,ID,creator,current_location,description,object_category,object_name,production_date_end,production_date_start,production_place
217,2.232.27,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
218,2.232.28,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
219,2.232.29,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
220,2.232.30,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
221,2.232.31,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped at the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
222,2.232.32,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
223,2.232.33,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round ceramic saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
224,2.232.34,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gild with a floral and fruit pattern on a cream ground. The edge of the saucer  is decorated with gild diagonal stripes.  ""Royal Crown Derby"" is stamped at the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
225,2.232.35,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
226,2.232.36,Royal Crown Derby,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A round saucer decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the saucer is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped at the bottom of the saucer.","Cooking, Dining and Drinking",Saucer,1929,1900,Unknown
227,2.234,Unknown,Hill House / Flower Pantry / Cupboard 2017.4032.4,A small bowl with two flat triangular handles with red decoration and a red rim. The body of the porringer is decorated  with a hand painted cockerel and floral sprays.,"Cooking, Dining and Drinking",Porringer,1929,1900,Fife
228,2.236,Unknown,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A jug glazed with a copper lustre effect and two bands of floral decoration. It has a tapered foot, a triangular spout and a curved looped handle.","Cooking, Dining and Drinking",Jug,1899,1800,Unknown
229,2.237.1,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"An oval soup tureen with a lid in cream ceramic with scalloped edges and two fluted handles on each side. Decorated with a gold rim and a green floral design. On the bottom of the tureen there is the maker's mark stamped ""Seville, Stoke Ro No9 6042"". The cream ceramic lid is oval with a round ceramic finial and and space for a ladle. It is decorated with a  green floral pattern around the edges and floral decoration in the centre. There is no maker's mark on the lid.","Cooking, Dining and Drinking",Tureen,1899,1870,Unknown
230,2.237.1.2,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval serving plate with scalloped edges and decorated with a gold rim and a green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
231,2.237.2,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval soup tureen with a lid. Scalloped edges, two fluted handles on each side and decorated with a gold rim and a green floral design. On the bottom of the tureen is the maker's mark stamped ""Seville, Stoke Ro No9 6042."" The oval cream ceramic lid has a looped ceramic finial and space for a ladle. It is decorated with a green floral pattern around the edges and floral decoration in the centre. There is no maker's mark on the lid.","Cooking, Dining and Drinking",Tureen,1899,1870,Unknown
232,2.237.2.1,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval serving plate with scalloped edges decorated with a gold rim and a green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
233,2.237.3,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval lid for tureen with scalloped edges and a round ceramic finial. Decorated with a gold rim and a green floral design. On the bottom of the lid is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Lid,1899,1870,Unknown
234,2.237.4,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval sauce boat with scalloped edges and a looped handle. Decorated with a gold rim and a green floral design. On the bottom is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Sauce Boat,1899,1870,Unknown
235,2.237.4.1,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic oval plate for the sauce boat to sit on with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
236,2.237.5,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
237,2.237.6,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
238,2.237.7,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
239,2.237.8,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
240,2.237.9,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
241,2.237.10,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
242,2.237.11,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
243,2.237.12,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the dish is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
244,2.237.13,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
245,2.237.14,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
246,2.237.15,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
247,2.237.16,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
248,2.237.17,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
249,2.237.18,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
250,2.237.19,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
251,2.237.20,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
252,2.237.21,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
253,2.237.22,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
254,2.237.23,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
255,2.237.24,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic soup bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
256,2.237.25,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
257,2.237.26,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
258,2.237.27,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
259,2.237.28,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
260,2.237.29,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
261,2.237.30,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
262,2.237.31,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
263,2.237.32,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic round side plate with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the plate is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Plate,1899,1870,Unknown
264,2.237.33,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
265,2.237.34,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
266,2.237.35,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
267,2.237.36,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
268,2.237.37,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
269,2.237.38,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
270,2.237.39,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
271,2.237.40,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
272,2.237.41,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
273,2.237.42,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
274,2.237.43,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
275,2.237.44,G. T. M.,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A cream ceramic dessert bowl with scalloped edges and decorated with a gold rim and green floral design. On the bottom of the bowl is the maker's mark stamped ""Seville, Stoke Ro No9 6042.""","Cooking, Dining and Drinking",Bowl,1899,1870,Unknown
276,2.238,Unknown,Hill House / Flower Pantry / Cupboard 2017.4032.1,"A ceramic copper glazed jug with a painted floral decoration in multiple colours. It has a vertical spout and curved handle, a prism shaped middle section and rests on a tapered foot.","Cooking, Dining and Drinking",Jug,1999,1900,Unknown
277,2.239,"Mackintosh, Charles Rennie",Hill House / Butler's Pantry,"Fitted cabinet designed by Charles Rennie Mackintosh in dark green painted wood. The unit is composed of a broom cabinet with wooden door with seven square holes and black round handle. The top part of the unit is composed of five cupboards with two doors each with glass panels and black round finial. Unvarnished wood top. The bottom part of the unit is composed of two rows of six drawers metal handle and four cupboards with two doors each, apart from the last one that has only one door. Each door is decorated with a hole in the shape of a heart.",Furniture and Furnishings,Cabinet,1903,1903,Unknown
278,2.24,William Adams and Sons Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.4,"A white rectangular ceramic plate with a blue Chinese inspired decoration. On the reverse of the plate is the maker's mark ""Rd No. 623294""","Cooking, Dining and Drinking",Plate,1913,1913,Tunstall
279,2.241.1,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic dinner plate with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
280,2.241.2,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic dinner plate with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Plate,1929,1900,England
281,2.241.3,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic soup bowl with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Bowl,1929,1900,England
282,2.241.4,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic soup bowl with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Bowl,1929,1900,England
283,2.241.5,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic soup bowl with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Bowl,1929,1900,England
284,2.241.6,Cauldon Ltd,Hill House / Flower Pantry / Cupboard 2017.4032.2,"Round plain cream ceramic soup bowl with green initials ""W. B."" painted in a floral motif on the front. ""Cauldon England"" is stamped on the bottom.","Cooking, Dining and Drinking",Bowl,1929,1900,England
285,2.242.1,Figgjo,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A white ceramic plate decorated with a design of a fish in an underwater scene. On the reverse of the plate is a maker's mark stamped in blue which reads ""F F Figgjo Flint Norway.""","Cooking, Dining and Drinking",Plate,1969,1930,Unknown
286,2.242.2,Figgjo,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A white ceramic plate decorated with a design of a fish in an underwater scene. On the reverse of the plate is a maker's mark stamped in blue which reads ""F F Figgjo Flint Norway.""","Cooking, Dining and Drinking",Plate,1969,1930,Unknown
287,2.242.3,Figgjo,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A white ceramic plate decorated with a design of a fish in an underwater scene. On the reverse of the plate is a maker's mark stamped in blue which reads ""F F Figgjo Flint Norway.""","Cooking, Dining and Drinking",Plate,1969,1930,Unknown
288,2.242.5,Figgjo,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A white ceramic plate decorated with a design of a fish in an underwater scene. On the reverse of the plate is a maker's mark stamped in blue which reads ""F F Figgjo Flint Norway.""","Cooking, Dining and Drinking",Plate,1969,1930,Unknown
289,2.244,Copeland and Garrett,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A dinner plate with scalloped edge and blue decoration on white ground. There is a decorative band around the edge of the plate with olive branches, wheat and grape, and a country scene in the middle. The maker's mark ""Coperland & Garrett late Spode"" is stamped in a circle on the bottom of the plate.","Cooking, Dining and Drinking",Plate,1847,1833,Unknown
290,2.245,"Dresser, Christopher",Hill House / Library,"A brown and green slipware vase. It has a round body with a flat bottom and circular neck. The vase has been stamped ""208/B"" and has been signed although signature is illegible.",Decorative Arts,Vase,1887,1887,Unknown
291,2.249,Unknown,Hill House / See Separate Records for Locations of Parts,A hoover with a set of hoover accessories and box.,Miscellaneous,Vacuum Cleaner,0000,0000,Unknown
292,2.249.1,Hoover Company,Hill House / Flower Pantry,"A vacuum cleaner made by The Hoover Company, metal handle with plastic top cover with plastic switch and a metal hook to wrap the cord around. The old plug has been replaced with a modern one. The black cloth dust bag is attached to the handle with a metal coil and has a white decoration with white stripes and ""The Hoover, reg trade mark"". The hoover has a steel round case for suction mechanism with a geometric engraved pattern and a  rectangular steel body with a triangular metal plaque screwed to the body ""The Hoover reg trade mark, it beats as it sweeps as it cleans"". The base of the hoover has a black rubber band around the rim and four plastic wheels. On the bottom is engraved "" The hoover carpets last longer"" ""Place high side of belt in line with arrow"".",Miscellaneous,Vacuum Cleaner,1999,1900,Unknown
293,2.249.2,Hoover Company,Hill House / Attic,"A brown cardboard rectangular box with a lid. On the front of the box is printed in black ""The HOOVER It Beats - as it Sweepts - as it Cleans. THE HOOVER COMPANY LIMITED HAMILTON, CANADA."" On the sides it is printed in black with ""The HOOVER ELECTRIC SUCTION SWEEPER."" The box is held together with metal nails.",Miscellaneous,Box,1999,1900,Unknown
294,2.249.3,Hoover Company,Hill House / Attic,A rectangular paper hoover bag. The bag is brown with a jagged cut opening.,Miscellaneous,Bag,1999,1900,Unknown
295,2.249.4,Hoover Company,Hill House / Attic,A rectangular paper bag. The bag is brown with jagged cut end.,Miscellaneous,Bag,1999,1900,Unknown
296,2.249.5,Hoover Company,Hill House / Attic,A rectangular paper bag. The bag is brown with jagged cut end.,Miscellaneous,Bag,1999,1900,Unknown
297,2.249.6,Hoover Company,Hill House / Attic,A rectangular paper bag. The bag is brown with jagged cut end.,Miscellaneous,Bag,1999,1900,Unknown
298,2.249.7,Hoover Company,Hill House / Attic,A long round extension pipe for the hoover. It has two metal ends and the pipe is plastic covered in a cotton fabric in a blue and cream diamond pattern.,Miscellaneous,Pipe,1999,1900,Unknown
299,2.249.8,Hoover Company,Hill House / Attic,"An attachment for the hoover, it is a pipe made of black enamelled metal and white metal. It has a long straight cyclindrical body made of black enamelled metal. On either end of the pipe there is a white metal section to connect to the hoover.",Miscellaneous,Pipe,1999,1900,Unknown
300,2.249.9,Hoover Company,Hill House / Attic,"An attachment for the hoover, it is a pipe made of black enamelled metal and white metal. It has a long straight cyclindrical body made of black enamelled metal which curves to the end. On either end of the pipe there is a white metal section to connect to the hoover.",Miscellaneous,Pipe,1999,1900,Unknown
301,2.249.10,Hoover Company,Hill House / Attic,"A hoover attachment made of white metal. It is a head for the hoover, it is made up of a cyclindrical pipe with a brush attached to it. The brush has a rubber rim with a wooden base with plastic fibre bristles attached.",Miscellaneous,Brush,1999,1900,Unknown
302,2.249.11,Hoover Company,Hill House / Attic,A hoover nozzle attachment made of black enamelled metal and white metal. The attachment is a pipe with a flattened body. There is a cyclindrical white metal section to connect to the hoover. The body is made of black enamel and starts cylindrical and then becomes flat.,Miscellaneous,Nozzle,1999,1900,Unknown
303,2.249.12,Hoover Company,Hill House / Attic,"A hoover attachment made of white metal. It has two sections, one section is a cylindrical pipe made of white metal. The other section is white metal, it is a dome with two squared angles protruding. The dome section has a brimmed flat lip with a C shape on the end.",Miscellaneous,Pipe,1999,1900,Unknown
304,2.250.2,Keeling & Co.,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A vegetable tureen made by Keeling & Co. in the Gloucester pattern, part of a dinner service set. The lid is oval in shape with a moulded finial, scalloped edge, gold rim and green floral decoration on cream ground. The body of the tureen is oval in shape with green floral decoration on cream ground with a gold rim, two moulded handles and a raised foot. On the bottom is the maker's mark: ""RoNo 104604"" in a ribbon design with ""Gloucester K & Co"" written underneath.","Cooking, Dining and Drinking",Tureen,1899,1870,Burslem
305,2.250.3,Keeling & Co.,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A vegetable tureen made by Keeling & Co. in the Gloucester pattern, part of a dinner service set. The lid is oval in shape with a moulded finial, scalloped edge, gold rim and green floral decoration on cream ground. The body of the tureen is oval in shape with green floral decoration on cream ground with a gold rim, two moulded handles and a raised foot. On the bottom is the maker's mark: ""RoNo 104604"" in a ribbon design with ""Gloucester K & Co"" written underneath.","Cooking, Dining and Drinking",Tureen,1899,1870,Burslem
306,2.250.4,Keeling & Co.,Hill House / Flower Pantry / Cupboard 2017.4032.2,"A sauce boat made by Keeling & Co. in the Gloucester pattern, part of a dinner service set. Oval shaped body, scalloped edge, raised foot, moulded loop handle, pointed spout and green floral decoration on cream ground with a gold rim. On the bottom is the maker's mark: ""RoNo 104604"" in a ribbon design with ""Gloucester K & Co"" written underneath.","Cooking, Dining and Drinking",Sauce Boat,1899,1870,Burslem
307,2.250.5,Keeling & Co.,Hill House / Flower Pantry / Cupboard 2017.4032.2,"An oval plate for the sauce boat to rest on made by Keeling & Co. in the Gloucester pattern, part of a dinner service set. Scalloped edge, gold rim and green floral pattern on cream ground. On the bottom is the maker's mark: ""RoNo 104604"" in a ribbon design with ""Gloucester K & Co"" written underneath.","Cooking, Dining and Drinking",Plate,1899,1870,Burslem
