object_number,record_type,number_of_parts,object_category,object_name,title,description,material.part,condition.part,creator,creator.qualifier,creator.role,production.place,production.period,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,part_of_reference,parts_reference,current_location
2.115.3,single object,1,Household Textiles,Antimacassar,,"One of a set of four antimacassar replicas made in 1984. Two rectangles with rounded edges held together by two straps. The antimacassar has a cotton black ground with black cotton polka dots, green and purple interwoven ribbons and a central motif of pink silk with blue ribbons and black velvet dots. Pink cotton backing fabric.",,,,,,,Late 20th century,1984,,1984,,2.115,,Hill House / Upper Hall / Linen Cupboard A / Shelf 1
2.115.4,single object,1,Household Textiles,Antimacassar,,"One of a set of four antimacassar replicas made in 1984. Two rectangles with rounded edges held together by two straps. The antimacassar has a cotton black ground with black cotton polka dots, green and purple interwoven ribbons and a central motif of pink silk with blue ribbons and black velvet dots. Pink cotton backing fabric.",,,,,,,Late 20th century,1984,,1984,,2.115,,Hill House / Upper Hall / Linen Cupboard A / Shelf 1
2.121,single object,1,Lighting,Light-Fitting,,A light fitting made of silvered copper in an oval shape with squared edges. On the squared edges there are three mother of pearl squares. The fitting is hung by four chains attached by metal loops. It is based on that in Mackintosh's former home in Main Street Glasgow.,,Whole,"John Blacksmith, Allan",,Maker,,20th century,1900,,1999,,,,Hill House / Attic
2.135,single object,1,Furniture and Furnishings,Garden Bench,,A garden bench in ebonised wood with a wave shaped back and a solid seat with shaped apron on square supports joined by square stretchers.,,,"Jack, William",,Maker,,,1912,,1912,,,,Hill House / Night Nursery
2.136,single object,1,Furniture and Furnishings,Fireplace,,A dark stained wood fireplace with wrought iron surround pierced by seven oval cut outs with white glass inserts. It has three bays above a shelf which cuts across the side supports with a concave shelf below.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,,,Hill House / Lower Hall
2.137,set,2,Furniture and Furnishings,Hall Chair,,A set of two hall chairs made of varnished wood with rush seats.,,,"Craig, John",,Maker,,,1904,,1904,,,2.137.1,Hill House / See Separate Records for Locations of Parts
2.137.1,single object,1,Furniture and Furnishings,Hall Chair,,One of a set of two hall chairs. The chair is made from varnished wood and has a rectangular trelliswork back above a rushwork seat flanked by two downswept armrests. The chair has a lozenge filled chair rail on turned baluster supports joined by square stretchers.,,,"Craig, John",,Maker,,,1904,,1904,,2.137,,Hill House / Lower Hall
2.137.2,single object,1,Furniture and Furnishings,Hall Chair,,One of a set of two hall chairs. The chair is made from varnished wood and has a rectangular trelliswork back above a rushwork seat flanked by two downswept armrests. The chair has a lozenge filled chair rail on turned baluster supports joined by square stretchers.,,,"Craig, John",,Maker,,,1904,,1904,,2.137,,Hill House / Lower Hall
2.139,single object,1,Furniture and Furnishings,Wall Sconce,,A beaten copper wall sconce in an oak frame with green glass cabochons and a brass and metal decoration in the form of a peacock. The wall sconce has two candle fittings which are now electric.,,,"Morris, Talwyn",,Designer,,Early 20th century,1900,,1929,,,,Hill House / Lower Hall
2.141.1,single object,1,Household Textiles,Carpet,,One of a group of four carpets. A wool carpet made in a Mackintosh style with a beige ground and blue squares in the corners and a line pattern.,,,Templetons,,Maker,Glasgow,20th century,1900,,1999,,2.141,,Hill House / Lower Hall
2.141.2,single object,1,Household Textiles,Carpet,,One of a group of four. A wool carpet made in a Mackintosh style with a beige ground and blue squares in the corners and a line pattern.,,,Templetons,,Maker,Glasgow,20th century,1900,,1999,,2.141,,Hill House / Lower Hall
2.141.3,single object,1,Household Textiles,Carpet,,One of a group of four. A wool carpet made in a Mackintosh style with a beige ground and blue squares in the corners and a line pattern.,,,Templetons,,Maker,Glasgow,20th century,1900,,1999,,2.141,,Hill House / Lower Hall
2.142,single object,,Furniture and Furnishings,Table,,"A varnished oak oval table. Shaped oval top above a frieze drawer with a round wooden finial, and tapering supports pierced with lozenges, joined by moulded double barred cross stretchers.",,,"Craig, John",,Maker,,Early 20th century,1904,,1904,,,,Hill House / Lower Hall
2.143,set,2,Furniture and Furnishings,Hall Clock,,A set of a hall clock and wind key.,,,"Craig, John",,Maker,,Early 20th century,1904,,1904,,,2.143.1,Hill House / See Separate Records for Locations of Parts
2.143.1,single object,1,Furniture and Furnishings,Hall Clock,,"A dark stained pine hall clock which is fitted to the wall. The clock has a square metal face which has been painted white, black Roman numerals and three metal brass hands. The case is dark stained pine and has no front panel. The two side panels taper to the wall and there is no plinth. The clock has two brass cylindrical weights and a brass pendulum with a round end.",,,"Craig, John",,Maker,,Early 20th century,1904,,1904,,2.143,,Hill House / Lower Hall
2.143.2,single object,1,Furniture and Furnishings,Key,,A brass wind key for the hall clock. Circular handle and a flat body with a cylindrical section with a square hole.,,,"Craig, John",,Maker,,Early 20th century,1904,,1904,,2.143,,Hill House / Lower Hall
2.144.1,single object,1,Lighting,Hanging Light,,One of a set of three hanging lights. The light is brass with rectangular pink and purple glass panels.,,,"Mackintosh, Charles Rennie",,Designer,,20th century,1900,,1999,,2.144,,Hill House / Lower Hall
2.144.2,single object,1,Lighting,Hanging Light,,One of a set of three hanging lights. The light is brass with rectangular pink and purple glass panels.,,,"Mackintosh, Charles Rennie",,Designer,,20th century,1900,,1999,,2.144,,Hill House / Lower Hall
2.144.3,single object,1,Lighting,Hanging Light,,One of a set of three hanging lights. The light is brass with rectangular pink and purple glass panels. This is a reproduction.,,,"Mackintosh, Charles Rennie",,Designer,,20th century,1986,,1986,,2.144,,Hill House / Lower Hall
2.146,single object,1,Furniture and Furnishings,Armchair,,"For the Drawing Room of the Hill House, an ebonised oak frame armchair with tapering padded back and upholstered feet, flanked by scrolled armrests, on turned tapering supports joined by turned twin stretchers, sides and back with turned quadruple stretchers.",,,"Martin, Alex",,Maker,,,1904,,1904,,,,Hill House / Attic
2.147,single object,,Lighting,Light-Fitting,,"brass, circ frame with vertical bars, electric COPY",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,,,Hill House / Lower Hall
2.151,single object,1,"Cooking, Dining and Drinking",Bowl,,"A ceramic bowl with a stepped foot. The bowl is decorated with a pink floral pattern around the foot, body and inside the rim.",,,,,,,20th century,1900,,1999,,,,Hill House / Butler's Pantry
2.17,single object,1,Household Textiles,Rug,,"An oval wool rug with a dark plum field woven with a central pink, brown and red rectangular medallion and a plain oval border with wine stepped stripes.",,,"Mackintosh, Charles Rennie",,,,,,,,,,,Hill House / Upper Hall
2.171.1,single object,2,"Paintings, Drawings and Prints",Print,,"One of a set of three prints. A framed print by Charles Rennie MacKintosh of the facade of the Hill House. There is handwritten German text which reads: ""Haus Eines Kunst-Freundes. Verlags-Anstalt: Alexande Kich-Darmstadt-Tafel VIII"" and number ""8."" The frame is black plastic with glass.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1900,,1929,,2.171,,Hill House / Lower Hall
2.171.2,single object,2,"Paintings, Drawings and Prints",Print,,"One of a set of three prints. A framed print by Charles Rennie MacKintosh of an elevation of cabinets and cupboards. There is handwritten German text which reads: ""Haus Eines Kunst-Freundes. Verlags-Anstalt: Alexande Kich-Darmstadt-Tafel XIII"" and number ""13."" The frame is black plastic with glass.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1900,,1929,,2.171,,Hill House / Lower Hall
2.171.3,single object,1,"Paintings, Drawings and Prints",Print,,"One of a set of three prints. A framed print by Charles Rennie MacKintosh of an elevation of cabinets and cupboards. There is handwritten German text which reads: ""Haus Eines Kunst-Freundes. Verlags-Anstalt: Alexande Kich-Darmstadt-Tafel XII"" and number ""12."" The frame is black plastic with glass.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1900,,1929,,2.171,,Hill House / Lower Hall
2.18,single object,,Household Textiles,Antimacassar,,"An antimacassar consisting of two rectangles with rounded edges held together by two straps. Black cotton ground with black polka dots, green and purple interwoven ribbons and a central motif on purple silk with embroidery with blue ribbon and black velvet dots. The antimacassar are framed in a glazed wooden frame.",Frame,,"Mackintosh, Margaret Macdonald",,Maker,,,1902,,1902,,,,Hill House / Attic
2.182.1,single object,2,"Cooking, Dining and Drinking",Kettle,,"An electric copper kettle that rests on three metal feet with wooden ends. The kettle has a metal handle with wooden grip, and a round lid with wood and metal finial. There is a metal electric plug attached to the bottom. The kettle is embossed with ""Patent No 447987.""",,,Bulpitt & Sons,,Manufacturer,Birmingham,20th century,1900,,1999,,,,Hill House / Bathroom
2.182.2,single object,2,"Cooking, Dining and Drinking",Kettle,,"An electric copper kettle that rests on three copper feet with plastic ends. The kettle has a copper handle with a plastic grip, a round lid with a plastic finial and embossed triangular decoration. The kettle has a metal plug attached to the back and the makers' mark embossed on the bottom: ""BULLPITT & SONS BIRMINGHAM; Wolts 240/500 Watts 1500 Pat. No. 447987; Swan brand and patent pending; Made in England.""",,,Bulpitt & Sons,,Manufacturer,Birmingham,20th century,1900,,1999,,,,Hill House / Bathroom
2.188,single object,1,Furniture and Furnishings,Bed,,"A mahogany single bed frame with a rectangular panelled headboard inlaid with 3 oval purple ceramic tiles, flanked by spirally turned demi columns. The panelled base has been similarly applied. It was made by John Craig and was bought by the family for £7 10/- in January 1904.",,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,,,Hill House / Dressing Room
2.190.1,single object,1,Toiletry,Brush,,"An oval silver plated hair brush with beige coloured bristles, possibly horse hair. The top has an inverted curve with a ribbed effect engraving all over the top. Engraved in the middle are two stylised initials: 'W. F.' which are intertwined. A hallmark on the side of the brush is quite faded but there is a 'Y', 'a standing lion with one paw forward' and an anchor.",,,,,,,Early 20th century,1900,,1929,,2.19,,Hill House / Dressing Room / Chest of Drawers
2.190.2,single object,1,Toiletry,Brush,,"An oval silver plated hair brush with beige bristles, possibly horse hair. The top has an inverted curve with a ribbed effect engraving all over the top. Engraved in the middle are two stylised initials: 'W. F.' which are intertwined. A hallmark on the side of the brush is quite faded but there is a 'Y', 'a standing lion with one paw forward' and an anchor.",,,,,,,Early 20th century,1900,,1929,,2.19,,Hill House / Dressing Room / Chest of Drawers
2.191,single object,1,Toiletry,Brush,,"Oval silver plated hair brush with a flat rim around the edge, inverted curve in the centre, beige coloured fibres (probably horse hair) and illegible hall marks around the edge.",,,,,,Birmingham,Early 20th century,1900,,1929,,,,Hill House / Dressing Room
2.192,single object,1,Miscellaneous,Box,,"A circular painted tin collar box with a d-ring pull on top. Painted in maroon with ""Collars"" painted in gold on the lid",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Dressing Room
2.193.1,single object,1,Toiletry,Ewer,,"One of a set of two. An electro-plated jug, part of a set of basin and jug from the early 20th century. Plain, tall and slightly tapered. The handle is split in two and connected along the two top sides with four rivets on each side. The handle is then held together with three rivets.",,,"Mackintosh, Charles Rennie",,Designer,,,1900,,1915,,2.193,,Hill House / Dressing Room
2.195,single object,1,Household Textiles,Box,,A light brown leather circular collar box with a leather handle on the top. White metal buckle fastening and light coloured cotton stitching.,,,,,,,Mid-20th century,1930,,1969,,,,Hill House / Dressing Room
2.197.1,single object,1,Miscellaneous,Brush,,"A long thin wooden hair brush with beige bristles, possibly horse hair. The handle was originally painted black but much of the paint has come away. Slight inverted curve on the top and at the sides.",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Dressing Room / Chest of Drawers
2.197.2,single object,1,Toiletry,Brush,,"A long wooden brush with black bristles, possibly a hat brush. The whole brush has a slight inverted curve. Along the top of the brush is written: 'W. Thomson, Hatter & Glover, Lothian Road, Edinburgh.'",,,"W. Thomson, Hatter & Glover",,Manufacturer,Edinburgh,Early 20th century,1900,,1929,,,,Hill House / Dressing Room / Chest of Drawers
2.197.3,single object,1,Toiletry,Brush,,"A long thin wooden brush with beige bristles, possibly horse hair. The handle was originally painted black but much of the paint has come away. Slight inverted curve on the top and at the sides. One end has a small white metal finial.",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Dressing Room / Chest of Drawers
2.202,single object,1,Household Textiles,Rug,,"A rug made of woven wool with a dark purple field and three panels of pink, brown and red lozenges. Part of a set designed for different areas of the Hill House.",,,"Mackintosh, Charles Rennie",,,,20th century,1900,,1999,,,,Hill House / Attic
2.203,single object,1,Household Textiles,Bedspread,,"A cream bedspread with linen central embroidered panel and cream heavy cotton weave surround which is of a later date. The central panel has Mackintosh inspired design with pink roses and green leaves and was embroidered by Miss Jane Younger, Mrs Blackie's sister. It was made into a bedspread by the sewing ladies of the National Trust for Scotland. It was repaired and restored in 1990.",,,"Younger, Jane",,Designer,,20th century,1900,,1999,,,,Hill House / Dressing Room
2.21,single object,1,Furniture and Furnishings,Fire Surround,,"A fire surround with steel back inset, purple glass squares with floral motifs and a fitted white painted surround with two shelves built in.",,,"Jack, William",,Maker,,,1903,,1903,,,,Hill House / White Bedroom
2.211,single object,1,Furniture and Furnishings,Couch,,A white painted oak couch fitted to the corner of the White Bedroom. It has a rectangular padded back and sides covered in beige geometrically worked upholstery which is based on a design by Margaret Macdonald Mackintosh.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.212.1,single object,1,Furniture and Furnishings,Wardrobe,,"A white painted wardrobe, one of a pair. A moulded projecting cornice sits above a pair of panelled cupboard doors inlaid with opaque and pink glass panels, within panels of stylised flowerheads. The doors are fitted with chrome drop handles, on a plinth bases.",,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.212,,Hill House / White Bedroom
2.213.1,single object,1,Furniture and Furnishings,Chair,,"Side chair, one of pair, ebonised, with rectangular trellis filled back above horizontal splats, tapering rectangular seat on turned baluster supports joined by a turned front stretcher, sides with twin turned stretchers",,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.213,,Hill House / White Bedroom
2.213.2,single object,1,Furniture and Furnishings,Chair,,"Side chair, one of pair, ebonised, with rectangular trellis filled back above horizontal splats, tapering rectangular seat on turned baluster supports joined by a turned front stretcher, sides with twin turned stretchers.",,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.213,,Hill House / White Bedroom
2.214,single object,1,Furniture and Furnishings,Mirror,,A white painted oak cheval mirror. The rectangular pierced top sits above five turned baluster stems. It is frieze fitted with six small mirror slips above a rectangular mirror plate supported by rounded tapering columns and fitted with oval shelves supported by pierced tapering columns. It sits on a rectangular plinth. Part of the original white bedroom furnishings designed by Mackintosh for the Hill House.,,,"Martin, Alex",,Maker,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.215,single object,1,Furniture and Furnishings,Dressing Table,,White painted oak dressing table with a rectangular top above an open shelf and four long graduated drawers above four short drawers which have drop chrome handles. It sits on square supports and the sides have three pierced rectangular panels. Part of the original set of furnishings designed by Mackintosh for the white bedroom.,,,"Martin, Alex",,Maker,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.216.1,single object,1,Furniture and Furnishings,Cupboard,,One of a pair of rectangular white painted oak bedside cupboards with leaded-glass panels as concave bays on either side of the headboard.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.216,,Hill House / White Bedroom
2.216.2,single object,1,Furniture and Furnishings,Cupboard,,One of a pair of rectangular white painted oak bedside cupboards with leaded-glass panels as concave bays on either side of the headboard.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.216,,Hill House / White Bedroom
2.217,single object,1,Furniture and Furnishings,Bed,,"A white painted oak double bed with no headboard as the bed fits into recess, and a foot board with relief applique motif. The bed sits on large wooden wheels.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.218.1,single object,1,Furniture and Furnishings,Fitted Wardrobe,,One of a pair of white painted pine wardrobes fitted in the White Bedroom with chrome drop handles and a row of three chequered squares in pink glass on each door.,,,,,,,Early 20th century,1903,,1903,,2.218,,Hill House / White Bedroom
2.219,single object,1,Furniture and Furnishings,Table,,"White painted oak square centre table with a rectangular top on inward curving tapering supports, joined by a pierced rectangular undertier. Part of the orginal set of bedroom furnishings at the Hill House.",,,"Martin, Alex",,Maker,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.22,single object,1,Furniture and Furnishings,Washstand,,"A white painted pine washstand with rectangular opaque tile, mirrored back and rectangular silvered metal top above two cupboard doors inlaid with painted metal finger plates. The washstand sits on square supports enclosing a sparred interior.",,,"Martin, Alex",,Maker,,Early 20th century,1903,,1903,,,,Hill House / White Bedroom
2.221.1,single object,1,Furniture and Furnishings,Wall Light,,One of a pair of two white metal wall lights with fitted opaque glass panels on the sides and on the bottom.,,,"Mackintosh, Charles Rennie",,Designer,,,1903,,1903,,2.221,,Hill House / White Bedroom
2.221.2,single object,1,Furniture and Furnishings,Wall Light,,One of a pair of two white metal wall lights with fitted opaque glass panels on the sides and on the bottom.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.221,,Hill House / White Bedroom
2.222,single object,1,Lighting,Centre Light,,A ceiling light in a rectangular frame with circular motifs. Two opaque glass rectangular lanterns suspended from the ceiling and divided by spars.,,,"Mackintosh, Charles Rennie",,Designer,,,1903,,1903,,,,Hill House / White Bedroom
2.223.1,single object,1,"Cooking, Dining and Drinking",Ewer,,"An electro-plated ewer with a slightly hammered look and a tapering spout with a pointed edge. The ewer has a D shaped handle which joins about half way down the body with a triangular joint, and a central raised border and raised border around the lip.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1903,,1903,,2.223,,Hill House / Dressing Room
2.223.2,single object,1,"Cooking, Dining and Drinking",Ewer,,An electro-plated ewer with a slightly hammered look and a tapering spout with a pointed edge. The ewer has a D shaped handle which joins about half way down the body with a triangular joint and a central raised border and a raised border around the lip.,,,"Mackintosh, Charles Rennie",,,,Early 20th century,1903,,1903,,2.223,,Hill House / Dressing Room
2.223.3,single object,1,"Cooking, Dining and Drinking",Basin,,"An electro plated basin for ewer with a slightly hammered look, round with flat brim and pierced oval decoration.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1903,,1903,,2.223,,Hill House / Dressing Room
2.223.4,single object,1,"Cooking, Dining and Drinking",Basin,,"An electro plated basin for ewer with a slightly hammered look, round with flat brim and pierced oval decoration.",,,"Mackintosh, Charles Rennie",,,,Early 20th century,1903,,1903,,2.223,,Hill House / White Bedroom
2.224,single object,1,Furniture and Furnishings,Centre Stool,,An ebonised oak centre stool with square upholstered top in green on turned baluster supports joined by single turned stretchers.,,,"Martin, Alex",,Maker,,Early 20th century,1904,,1904,,,,Hill House / White Bedroom
2.232.1,single object,1,"Cooking, Dining and Drinking",Basin,,"A slop basin decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the basin is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.2,single object,1,"Cooking, Dining and Drinking",Plate,,"A round bread and butter plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes.  ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.3,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.4,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.5,single object,1,"Cooking, Dining and Drinking",Plate,,"A round plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.6,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.7,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.8,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.9,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.10,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.11,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.12,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.13,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.14,single object,1,"Cooking, Dining and Drinking",Plate,,"A round side plate decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the plate is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the plate.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.15,single object,1,"Cooking, Dining and Drinking",Jug,,"A milk jug with a looped handle and a square spout. The jug is decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the jug is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the jug.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.16,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.17,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.18,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.19,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.20,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.21,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.22,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle  decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.23,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle  decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
2.232.24,single object,1,"Cooking, Dining and Drinking",Coffee-cup,,"A coffee cup with a looped handle decorated in blue, rouge de fer and gilt with a floral and fruit pattern on a cream ground. The edge of the cup is decorated with gilt diagonal stripes. ""Royal Crown Derby"" is stamped on the bottom of the cup.",,,Royal Crown Derby,,Manufacturer,,Early 20th century,1900,,1929,,2.232,,Hill House / Flower Pantry / Cupboard 2017.4032.4
